label,major_axis_length,minor_axis_length,area,perimeter,ratio,roundness,maj_len,min_len,min_pos,min_len05,ratio_contour,hue_mean,hue_std,hue_skew,sat_mean,sat_std,sat_skew,val_mean,val_std,val_skew,int_mean,int_std,int_skew,name,location,img_no
1,0.6467,0.3852,0.19,1.8673,0.5956,0.6848,0.6449,0.3863,0.34,0.3657,0.599,0.1775,0.0568,10.0284,0.5544,0.2133,-1.0526,0.2476,0.086,0.202,28.6694,19.2332,1.9181,Acer pseudoplatanus,1,1
2,0.8394,0.5376,0.3404,2.5672,0.6405,0.6491,0.8484,0.5622,0.16,0.4837,0.6627,0.1895,0.039,7.4424,0.5316,0.2098,-1.0276,0.26,0.0663,0.5989,32.5764,21.0418,1.6602,Acer pseudoplatanus,1,1
3,0.9219,0.518,0.3642,2.6705,0.5619,0.6417,0.9539,0.5106,0.53,0.4932,0.5353,0.1553,0.0469,12.8212,0.5898,0.1885,-1.1201,0.2938,0.0894,0.6954,31.7738,19.9879,1.5062,Acer pseudoplatanus,1,1
4,1.022,0.6492,0.5029,3.008,0.6352,0.6985,1.0434,0.6559,0.26,0.5759,0.6286,0.1826,0.0303,9.5387,0.6153,0.1802,-1.5059,0.3011,0.0781,0.3274,30.916,19.3648,1.6186,Acer pseudoplatanus,1,1
5,1.1088,0.4693,0.406,2.9314,0.4233,0.5937,1.133,0.466,0.47,0.4509,0.4113,0.1539,0.0408,10.8473,0.5688,0.2229,-0.9551,0.2428,0.082,0.6124,28.3067,20.9653,1.7676,Acer pseudoplatanus,1,1
6,0.8926,0.5088,0.3533,2.5284,0.57,0.6945,0.9534,0.5391,0.35,0.5069,0.5654,0.133,0.0442,11.1636,0.5545,0.1995,-0.6494,0.2758,0.1112,0.7798,32.6045,21.7003,1.1538,Acer pseudoplatanus,1,1
7,1.3017,0.6317,0.6389,3.6789,0.4853,0.5932,1.3141,0.6827,0.53,0.6274,0.5195,0.1466,0.061,9.577,0.5986,0.2333,-0.9011,0.3142,0.0962,-0.0011,33.3196,22.1595,1.1385,Acer pseudoplatanus,1,1
8,0.9817,0.5772,0.4413,2.9297,0.588,0.6461,0.999,0.5958,0.37,0.5692,0.5964,0.15,0.0651,8.3428,0.579,0.2099,-0.9531,0.3136,0.0961,-0.2586,34.3761,20.2342,1.2799,Acer pseudoplatanus,1,1
9,0.7159,0.5617,0.2871,2.9395,0.7846,0.4175,0.7535,0.6376,0.2,0.4078,0.8462,0.1795,0.0544,7.8478,0.5971,0.2018,-1.2603,0.2968,0.0928,0.7871,32.1518,22.1916,1.5353,Acer pseudoplatanus,1,1
10,0.7633,0.6242,0.3661,2.7457,0.8178,0.6102,0.7681,0.6767,0.39,0.5751,0.881,0.1485,0.055,10.0785,0.566,0.2168,-0.8393,0.3006,0.1,0.1246,34.3654,21.9043,1.5463,Acer pseudoplatanus,1,1
11,0.8123,0.4251,0.2602,2.5344,0.5233,0.5091,0.8783,0.4577,0.36,0.4033,0.5211,0.168,0.0485,7.3862,0.5583,0.1712,-1.0192,0.3034,0.0985,1.0611,35.4982,20.9126,1.5032,Acer pseudoplatanus,1,1
12,0.6575,0.4499,0.2279,2.0451,0.6843,0.6847,0.7117,0.4664,0.42,0.449,0.6553,0.1425,0.0681,8.6781,0.5868,0.2196,-0.7409,0.3268,0.0961,-0.4723,35.5256,21.8074,1.4474,Acer pseudoplatanus,1,1
13,1.2026,0.7202,0.65,3.7786,0.5989,0.5721,1.2297,0.7897,0.25,0.6173,0.6422,0.1606,0.0522,6.3102,0.5717,0.1937,-0.7313,0.2938,0.098,0.7986,33.9678,21.0124,1.5344,Acer pseudoplatanus,1,1
14,0.9325,0.516,0.3717,2.8211,0.5534,0.5869,0.9219,0.5219,0.38,0.5168,0.5661,0.1382,0.0687,8.7848,0.5874,0.2142,-0.6162,0.296,0.1105,0.2094,32.8894,22.5201,1.2357,Acer pseudoplatanus,1,1
15,0.7541,0.5073,0.2869,2.7033,0.6727,0.4933,0.8185,0.5348,0.44,0.4987,0.6534,0.1265,0.0584,9.9764,0.5382,0.2165,-0.5342,0.2844,0.0968,0.0812,33.918,20.8951,1.3251,Acer pseudoplatanus,1,1
